prompt,response
"What is Prism AI?","Prism AI is an all-in-one AI SaaS platform offering article writing, blog title, image generation, background removal, and resume analysis tools"
"what features it offers?","Features includes article writing, blog title, image generation, background removal, resume analysis tools and more."
"How do I sign up for Prism AI?","You can sign up using your Google account or email via our secure Clerk authentication system."
"What is the price of Prism AI Premium?","Prism AI Premium costs $16 per month and provides unlimited access to all advanced features."
"Which features are free in Prism AI?","Free users can access the Article Writer, Blog Title Generator, and the Document Converter."
"What tools are locked behind the Premium plan?","Premium features include AI Image Generation, Background Removal, Object Removal, and the Resume Reviewer."
"How many tools and features does Prism AI offer?","Prism AI offers 7+ core tools including Article Writer, Blog Title Generator, Image Generator, Background Remover, Object Remover, Resume Reviewer, and Document Converter."
"What is the technology stack of Prism AI?","Prism AI is built using the PERN stack: PostgreSQL (Neon), Express.js, React, and Node.js."
"How does the Article Writer work?","It uses advanced AI models to generate high-quality, SEO-optimized articles based on your specific topic and length requirements."
"Can I generate blog titles for free?","Yes, the Blog Title Generator is one of the three tools available in our free tier."
"How do I remove the background from an image?","Upload your photo to the Background Remover tool; our AI processes it via Cloudinary to provide a clean cutout."
"What does the Object Remover do?","The Object Remover allows you to highlight unwanted items in a photo and uses AI to erase them and fill the background."
"Is my resume data safe?","Yes, Prism AI uses Clerk for secure sessions and ensures your uploaded documents are private and encrypted."
"How does the Resume Reviewer help?","It analyzes your resume structure, keywords, and layout to give you actionable feedback for job applications."
"What is the Dashboard?","The Dashboard is your personal hub where you can track your creation history, credit usage, and subscription status."
"Where can I see images created by other users?","You can explore the Community Section to see public images generated by the Prism AI community."
"Can I make my generated images public?","Yes, when generating an image, check the 'Make Public' box to share it in the community gallery."
"What payment system does Prism AI use?","We use Clerk Billing to manage secure payments and monthly $16 subscriptions."
"How do I check my remaining free credits?","Your remaining credits are displayed on your Dashboard; they are tracked via Clerk's private metadata."
"What happens when I run out of credits?","Once your free credits are exhausted, you will need to upgrade to the $16/month Premium plan to continue using the tools."
"Can I cancel my subscription?","Yes, you can manage and cancel your Premium subscription anytime through the Billing tab in your settings."
"Is Prism AI mobile friendly?","Yes, the application is fully responsive and works perfectly on smartphones and tablets."
"How do I download my generated articles?","You can copy the text directly from the result area or use the download button provided in the tool."
"Does the Document Converter support PDF?","Yes, the Document Converter allows you to process and convert PDF files into editable formats."
"Where is my data stored?","We use Neon PostgreSQL, a serverless database, to store your prompts, activity logs, and content history safely."
"Who is the Prism AI chatbot assistant?","I am your personal AI assistant, designed to help you navigate Prism AI and answer questions about our features."
"Can I change the style of generated images?","Yes, you can select different styles like 3D, Realistic, or Artistic in the Image Generator tool."
"How long does it take to generate an article?","Most articles are generated within 16 to 30 seconds depending on the length requested."
"What image formats are supported for removal tools?","We support standard web formats including PNG, JPG, and JPEG."
"How do I see my total number of creations?","The total count of everything you have created is featured at the top of your user Dashboard."
"Is there a limit on premium usage?","Premium users enjoy significantly higher limits and priority processing for all AI features."
"Can the AI write code?","While focused on articles and titles, you can use the Article Writer to generate technical content and code snippets."
"How do I update my profile information?","You can manage your name, email, and password through the Clerk profile portal integrated into Prism AI."
"What should I do if the image generator fails?","Ensure your prompt is descriptive and check if you have remaining credits or an active premium plan."
"How does the navigation work?","The sidebar allows you to switch between tools, while the navbar handles your profile and dashboard access."
"Can I use Prism AI for commercial use?","Yes, users on the Premium plan have full rights to use generated content for commercial purposes."
"How do I reach support?","You can ask questions here in the chatbot or visit our contact page for more detailed technical help."
"Does Prism AI save my image prompts?","Yes, your prompts are saved in the PostgreSQL database so you can revisit them in your Dashboard."
"What is the '3D Style' option?","It is a specific setting in our Image Generator that produces depth-heavy, Pixar-like 3D visuals."
"How do I delete my history?","You can manage and delete your past creations directly from the activity log in your Dashboard."
"Does the background remover work on logos?","Yes, it is excellent for creating transparent PNG logos for websites and presentations."
"How do I get better blog titles?","Provide 2-3 keywords related to your niche, and the AI will generate the most clickable title options."
"Can I use the resume reviewer for CVs?","Yes, it supports both standard Resumes and academic CVs."
"How does the credit system update?","After every successful generation, the backend updates your metadata in Clerk to reflect your new balance."
"Is there a community for Prism AI?","Yes! The Community Section is a public space where users share their best AI-generated artwork."
"How do I share my work on social media?","You can download your images or articles and share them directly to your favorite social platforms."
"Does Prism AI use Cloudinary?","Yes, we use Cloudinary's powerful API for image hosting and AI-based image transformations."
"What is the 'Outlet' in your code?","The 'Outlet' is a React Router component that renders the specific AI tool page you have selected."
"Can I upgrade from free to premium at any time?","Absolutely! You can upgrade instantly via the billing section for just $16/month."
"How do I know if I am a Premium user?","Your Dashboard will display a 'Premium' badge and you will have access to all locked tools like Object Removal."
"How do I use the Document Converter?","Upload your file, select the output format, and click 'Convert' to process your document."
"Can I suggest new features?","Yes! We love user feedback. Feel free to suggest new AI tools via our support channels."
"Does the AI support multiple languages?","Currently, Prism AI is optimized for English, but it can process and generate content in many other languages."
"What makes Prism AI unique?","Prism AI combines text, image, and document AI tools in a single $16 subscription, saving you money on multiple apps."
"How do I copy my generated image URL?","Once generated, you can right-click the image to copy the link or use the 'Copy Link' button in the gallery."
"How does the 'Like' system work?","You can like images in the Community Section, and the total 'Likes' are updated in our PostgreSQL database."
"Is the backend secure?","Yes, our Node/Express backend uses environment variables and secure API calls to protect all data."
